,Dry_p,Wet_p,Country,Season,Year,product,latency,dataset
108,0.0004230683589401,0.008847324278186,Ethiopia,DJF,2007,180_ERA5,180,ERA5
109,1.4521797217623653e-05,0.0011762655746275,Ethiopia,MAM,2007,180_ERA5,180,ERA5
110,0.0,0.0,Ethiopia,JJA,2007,180_ERA5,180,ERA5
111,8.808826444096985e-05,0.0010497184845882,Ethiopia,SON,2007,180_ERA5,180,ERA5
112,0.0,0.0295363709032773,Somalia,DJF,2007,180_ERA5,180,ERA5
113,1.3033051819414034e-05,0.0183635700135543,Somalia,MAM,2007,180_ERA5,180,ERA5
114,0.0002736940882076,0.001199040767386,Somalia,JJA,2007,180_ERA5,180,ERA5
115,0.0,0.0036893562073418,Somalia,SON,2007,180_ERA5,180,ERA5
116,0.0,0.0371961222967934,Kenya,DJF,2007,180_ERA5,180,ERA5
117,0.0,0.0094543332360665,Kenya,MAM,2007,180_ERA5,180,ERA5
118,0.0,0.005660927925299,Kenya,JJA,2007,180_ERA5,180,ERA5
119,0.0,0.0279076628069916,Kenya,SON,2007,180_ERA5,180,ERA5
120,0.0027600989524837,0.0,Ethiopia,DJF,2008,180_ERA5,180,ERA5
121,0.1684165432313903,1.4521797217623653e-05,Ethiopia,MAM,2008,180_ERA5,180,ERA5
122,0.1639801341814062,0.0001379570735674,Ethiopia,JJA,2008,180_ERA5,180,ERA5
123,0.0542990743391544,0.0010864219281052,Ethiopia,SON,2008,180_ERA5,180,ERA5
124,0.0,0.0014230373942604,Somalia,DJF,2008,180_ERA5,180,ERA5
125,0.0544781566051506,0.0,Somalia,MAM,2008,180_ERA5,180,ERA5
126,0.0999635074549056,0.0,Somalia,JJA,2008,180_ERA5,180,ERA5
127,0.036709094263051,0.0161541096792895,Somalia,SON,2008,180_ERA5,180,ERA5
128,0.0,5.900140128328048e-05,Kenya,DJF,2008,180_ERA5,180,ERA5
129,0.0013714619200466,0.0,Kenya,MAM,2008,180_ERA5,180,ERA5
130,0.0031368543915961,0.0,Kenya,JJA,2008,180_ERA5,180,ERA5
131,0.0103989969761781,0.0009292720702116,Kenya,SON,2008,180_ERA5,180,ERA5
132,0.0056928672159133,0.0003191568321828,Ethiopia,DJF,2009,180_ERA5,180,ERA5
133,0.0466803171560512,2.178269582643548e-05,Ethiopia,MAM,2009,180_ERA5,180,ERA5
134,0.2178414800615724,0.0,Ethiopia,JJA,2009,180_ERA5,180,ERA5
135,0.1368010746768261,2.936275481365662e-05,Ethiopia,SON,2009,180_ERA5,180,ERA5
